Id,Company,Primary Industry,Country,Url,Current Rank,Prior Rank,Executive1,Executive2,Earnings Per Share Growth,Cost Of Goods Sold,Current Liabilities,Total Assets,Long Term Debt,Return On Equity,Revenue,Total Company Assets,Revenue Growth,Net Income,Earnings Per Share,Total Equity,Profit Margin,Debt To Equity Ratio,Inventory Turnover
549,SSAB AB,Primary Metals,Sweden,www.ssab.com,550,630,"Martin Lindqvist, President","Jonas Bergstrand, Executive Vice President",NM,,"$1,958 ","$2,986 ",2460.84,-1.15937,"$6,745 ","$10,101 ",19.08%,($60),NM,"$5,265 ",-0.89%,0.47%,1505.38
550,Brookfield Business Partners LP,Petroleum & Coal Products,Bermuda,www.brookfield.com,549,NA,"Mr. Jeffrey M. Blidner, Chairman","Mr. Cyrus Madon, Chief Executive Officer",NA,NA,"$2,495 ","$3,035 ",1563,13.8667,"$6,753 ","$7,635 ",46.11%,$208 ,NA,"$1,787 ",3.08%,0.87%,442
551,AK Steel Holding Corp.,Primary Metals,United States,www.aksteel.com,552,614,Mr. Roger K. Newport,"Mr. Jaime Vasquez, Vice President;Chief Financial Officer",NM,,"$1,042 ","$1,806 ",2354.1,NM,"$6,692 ","$4,084 ",2.88%,($509),NM,($977),-7.61%,NM,1226.3
552,Olympus Corp.,Instruments,Japan,www.olympus.co.jp,554,617,"Hiroyuki Sasa, President","Yasuo Takeuchi, Executive Vice President",NA,,"$2,214 ","$4,325 ",2197.07,17.5963,"$6,683 ","$8,312 ",5.22%,$519 ,NA,"$3,179 ",7.78%,0.69%,926.718
553,Sinochem International Corp.,Rubber Products,China,www.sinochemintl.com,551,619,"Li Chao, Deputy General Manager;Staff Supervisor","Li Dajun, Deputy General Manager",-43.90%,,"$2,208 ","$2,510 ",834.266,4.40993,"$6,735 ","$6,211 ",13.32%,$73 ,($43.90),"$1,740 ",1.10%,0.48%,607.359
554,Mitsui Engineering & Shipbldg. Co. Ltd.,"Railcars, Ships, & Other Trans. Equip.",Japan,www.mes.co.jp,553,586,"Takao Tanaka, President;Chief Executive Officer","Takaki Yamamoto, Executive Vice President;Chief Compliance Officer",-19.12%,,"$3,925 ","$4,467 ",1480.24,3.2081,"$6,690 ","$9,088 ",-1.36%,$63 ,($19.12),"$1,952 ",0.94%,0.76%,356.763
555,Indorama Ventures Co. Ltd.,Textiles,Thailand,www.indoramaventures.com,555,571,"Mr. Aloke Lohia, Chief Executive Officer",,NA,,"$1,592 ","$1,958 ",1844.76,8.99452,"$6,664 ","$6,151 ",-3.07%,$183 ,NA,"$2,215 ",2.75%,0.83%,882.198
556,Toyo Seikan Group Holdings Ltd.,Fabricated Metal Products,Japan,www.toyo-seikan.co.jp,556,609,"Takao Nakai, President","Atsuo Fujii, Executive Vice President",NA,,"$1,849 ","$4,610 ",1099.38,1.56212,"$6,662 ","$9,558 ",2.25%,$83 ,NA,"$5,281 ",1.25%,0.21%,1016.86
557,Kerry Group PLC,Food,Ireland,www.kerrygroup.com,559,579,"Stan McCarthy, Chief Executive Officer","Brian Mehigan, Chief Financial Officer",9.42%,NA,"$1,609 ","$2,006 ",2190.95,23.5015,"$6,649 ","$7,638 ",6.05%,$572 ,$9.42 ,"$3,039 ",8.61%,0.72%,799.699
558,Targa Resources Partners LP,Petroleum & Coal Products,United States,www.targaresources.com,558,484,"Mr. James W. Whalen, Executive Chairman;Holding/Parent Company Officer","Mr. Michael A. Heim, President",-141.52%,,$890 ,$893 ,5164,NA,"$6,658 ","$13,165 ",-22.72%,($27),($141.52),NA,-0.41%,NA,141
559,Spirit AeroSystems Holdings Inc.,Aerospace & Defense,United States,www.spiritaero.com,560,592,"Mr. Robert D. Johnson, Chairman","Mr. Thomas C. Gentile, President;Chief Executive Officer",123.72%,,"$1,459 ","$3,299 ",1097.6,48.6401,"$6,643 ","$5,777 ",-2.28%,$788 ,$123.72 ,"$2,119 ",11.87%,0.52%,1774.4
560,Far Eastern New Century Corp.,Textiles,Taiwan Province of China,www.fenc.com,561,544,"Douglas Tong Hsu, Chairman","Johnny Shih, Vice-Chairman;President",-27.14%,,"$2,886 ","$3,458 ",4271.69,4.02741,"$6,632 ","$15,787 ",-7.46%,$244 ,($27.14),"$6,002 ",3.69%,0.71%,747.368
561,Pearson PLC,Publishing & Printing,United Kingdom,www.pearson.com,562,540,"John Fallon, Chief Executive Officer","Sir Michael Barber, Chief Education Adviser",74.48%,,"$2,826 ","$6,074 ",3035.02,13.7648,"$6,621 ","$17,242 ",-8.33%,"$1,219 ",$74.48 ,"$9,505 ",18.42%,0.32%,312.69
562,Nitto Denko Corp.,Chemicals,Japan,www.nitto.com,564,578,"Yukio Nagira, Chairman","Hideo Takasaki, President;Chief Executive Officer",5.04%,,"$1,277 ","$4,172 ",24.9212,13.3465,"$6,587 ","$6,860 ",-3.90%,$678 ,$5.04 ,"$5,104 ",10.30%,0.00%,735.166
563,Teijin Ltd.,Chemicals,Japan,www.teijin.co.jp,565,608,"Shigeo Ohyagi, Chairman","Jun Suzuki, President;Chief Executive Officer",NA,,"$1,895 ","$3,576 ",1817.52,10.7983,"$6,568 ","$6,840 ",0.58%,$258 ,NA,"$2,499 ",3.93%,0.73%,1000.51
564,Targa Resources Corp.,Petroleum & Coal Products,United States,www.targaresources.com,557,485,"Mr. James W. Whalen, Executive Chairman;Advisor","Mr. Joe Bob Perkins, Chief Executive Officer",-55.14%,,$881 ,$920 ,5761.5,-89.1637,"$6,658 ","$13,253 ",-22.72%,($151),($55.14),"$1,461 ",-2.27%,3.94%,141
565,Lite-On Technology Corp.,Computers & Other Electronic Products,Taiwan Province of China,www.liteon.com,563,558,"Raymond Soong, Chairman","David Lin, Vice-Chairman",11.79%,,"$3,342 ","$4,582 ",497.904,9.63429,"$6,601 ","$6,380 ",-5.94%,$219 ,$11.79 ,"$2,312 ",3.33%,0.22%,877.248
566,Hess Corp.,Petroleum & Coal Products,United States,www.hess.com,566,389,"Mr. James H. Quigley, Chairman","Mr. Gregory P. Hill, President;Chief Operating Officer",-243.16%,,"$2,628 ","$4,404 ",6544,-13.7627,"$6,561 ","$34,195 ",-42.64%,"($3,056)",($243.16),"$19,386 ",-46.58%,0.34%,399
567,Constellation Brands Inc.,Beverages,United States,www.cbrands.com,567,647,"Dr. Richard Sands, Ph.D., Chairman","Mr. Robert Sands, President;Chief Executive Officer",24.22%,,"$2,272 ","$2,977 ",6816.2,18.2803,"$6,548 ","$16,965 ",8.63%,"$1,054 ",$24.22 ,"$6,559 ",16.11%,1.04%,1851.6
568,Terex Corp.,Machinery,United States,www.terex.com,568,559,"Mr. John L. Garrison, Jr., President;Chief Executive Officer","Mr. Eric I. Cohen, Senior Vice President;Secretary",-52.33%,,"$1,458 ","$3,144 ",1751,7.27354,"$6,543 ","$5,637 ",-10.48%,$145 ,($52.33),"$1,877 ",2.23%,0.93%,1445.7
569,Media Tek Inc.,Computers & Other Electronic Products,Taiwan Province of China,www.mediatek.com,570,600,"Ming-Kai Tsai, Chairman;Chief Executive Officer","Jyh-Jer Cho, Vice-Chairman;Deputy Chief Executive",-44.69%,,"$3,081 ","$6,539 ",,10.5023,"$6,489 ","$10,689 ",0.09%,$789 ,($44.69),"$7,316 ",12.17%,NA,734.337
570,Shiseido Co. Ltd.,Chemicals,Japan,www.shiseido.co.jp,572,611,"Masahiko Uotani, President;Chief Executive Officer","Tsunehiko Iwai, Executive Vice President",NA,,NA,NA,NA,9.94444,"$6,460 ","$6,841 ",2.05%,$279 ,NA,"$3,213 ",4.33%,NA,886.329
571,Showa Denko KK,Chemicals,Japan,www.sdk.co.jp,571,557,"Kyohei Takahashi, Chairman","Hideo Ichikawa, President;Chief Executive Officer",NA,,"$2,743 ","$2,766 ",1897.74,0.322816,"$6,487 ","$7,819 ",-10.91%,$8 ,NA,"$2,468 ",0.12%,0.77%,879.924
572,CMS Energy Corp.,Petroleum & Coal Products,United States,www.cmsenergy.com,573,565,"Mr. David W. Joos, Chairman","Ms. Patricia K. Poppe, President;Chief Executive Officer",8.62%,,"$2,302 ","$2,320 ",8559,14.3052,"$6,456 ","$20,340 ",-10.07%,$525 ,$8.62 ,"$3,938 ",8.13%,2.17%,778
573,PT Hanjaya Mandala Sampoerna,Tobacco,Indonesia,www.sampoerna.com,574,615,"Boedi Sampoerna, Pres. Commissioner",,NA,,$328 ,"$2,158 ",2.96065,76.776,"$6,450 ","$2,752 ",10.38%,$750 ,NA,"$2,318 ",11.64%,0.00%,1381.28
574,Pentair PLC,Machinery,United Kingdom,www.pentair.com,575,575,"Mr. Randall J. Hogan, Chairman","Mr. John L. Stauch, Executive Vice President;Chief Financial Officer",-137.84%,,"$1,486 ","$2,780 ",4709.3,-1.63815,"$6,449 ","$11,857 ",-8.38%,($76),($137.84),"$4,008 ",-1.18%,1.17%,1174.3
575,First Pacific Co. Ltd.,Miscellaneous,Hong Kong Special Administrative Region of China,www.firstpacific.com,576,599,"Mr. John W. Ryan, Executive Vice President","Mr. Manuel V. Pangilinan, Managing Director;Chief Executive Officer",5.88%,,"$3,068 ","$4,240 ",5363.3,2.48221,"$6,437 ","$17,592 ",-5.91%,$85 ,$5.88 ,"$3,148 ",1.32%,1.70%,631
576,Novatek Joint Stock Co.,Petroleum & Coal Products,Russian Federation,www.novatek.ru,577,646,"Leonid V. Mikhelson, Chairman","Mikhail V. Popov, First Deputy Chairman",99.59%,,"$2,297 ","$1,631 ",3413.21,19.3359,"$6,436 ","$11,917 ",32.90%,"$1,007 ",$99.59 ,"$5,769 ",15.65%,0.59%,111.395
577,Samsung SDI Co. Ltd.,Computers & Other Electronic Products,Korea,www.samsungsdi.com,578,743,"Mr. Sang-Jin Park, Chief Executive Officer;President","Mr. Byeung-Bok Chun, Executive Vice President",NM,,"$2,720 ","$4,057 ",597.044,0.464734,"$6,433 ","$13,790 ",38.27%,$45 ,NM,"$9,359 ",0.71%,0.06%,637.417
578,Toyoda Gosei Co. Ltd.,Motor Vehicle Parts,Japan,www.toyoda-gosei.co.jp,569,643,"Tadashi Arashima, Chairman","Naoki Miyazaki, President",NA,,"$1,350 ","$2,336 ",371.25,6.45436,"$6,495 ","$4,879 ",7.42%,$168 ,NA,"$2,524 ",2.59%,0.15%,434.218
579,Shire PLC,Pharmaceuticals,Ireland,www.shire.com,580,649,"Mr. Jeff Poulton, Chief Financial Officer","Mr. Mark J. Enyedy, Secretary",-61.86%,,"$3,706 ","$2,255 ",69.9,15.0458,"$6,416 ","$16,609 ",6.55%,"$1,303 ",($61.86),"$9,829 ",20.31%,0.01%,635.4
580,Alps Electric Co. Ltd.,Computers & Other Electronic Products,Japan,www.alps.co.jp,579,628,"Masataka Kataoka, Chairman","Toshihiro Kuriyama, President",NA,,"$1,485 ","$2,943 ",161.306,4.26683,"$6,429 ","$4,675 ",3.40%,$63 ,NA,"$1,899 ",0.99%,0.08%,727.091
581,PAO Severstal,Fabricated Metal Products,Russian Federation,www.severstal.com,581,337,"Alexey Mordashov, Chief Executive Officer","Alexey Kulichenko, Chief Financial Officer",NM,,"$1,296 ","$2,936 ",1945.03,21.4541,"$6,395 ","$5,866 ",-22.91%,$604 ,NM,"$2,252 ",9.46%,0.86%,649.577
582,Sanmina Corp.,Computers & Other Electronic Products,United States,www.sanmina.com,583,633,"Mr. Jure Sola, Chairman","Mr. Robert K. Eulau, Chief Financial Officer;Executive Vice President",94.27%,,"$1,380 ","$2,397 ",423.949,30.2594,"$6,374 ","$3,493 ",2.57%,$377 ,$94.27 ,"$1,520 ",5.92%,0.28%,918.728
583,Trinity Industries Inc.,"Railcars, Ships, & Other Trans. Equip.",United States,www.trin.net,582,635,"Mr. Timothy R. Wallace, Chairman;President","Mr. William A. McWhirter, II, Senior Vice President;Chief Financial Officer",21.24%,,$746 ,"$2,278 ",3195.4,26.5863,"$6,392 ","$8,885 ",3.61%,$796 ,$21.24 ,"$3,653 ",12.46%,0.87%,943.1
584,FMC Technologies Inc.,Machinery,United States,www.fmctechnologies.com,586,523,"Mr. John T. Gremp, Chairman","Mr. Douglas J. Pferdehirt, President",-42.37%,,"$2,343 ","$3,948 ",1134.1,16.0037,"$6,362 ","$6,437 ",-19.89%,$393 ,($42.37),"$2,511 ",6.18%,0.45%,744.6
585,NCR Corp.,Computers & Other Electronic Products,United States,www.ncr.com,584,607,"Mr. William R. Nuti, Chairman;President","Mr. Frederick (Rick) J. Marquardt, Executive Vice President",-197.32%,,"$1,781 ","$2,549 ",3239,-9.51363,"$6,373 ","$7,635 ",-3.31%,($178),($197.32),"$1,518 ",-2.79%,2.13%,643
586,Infineon Technologies AG,Communications Equipment,Germany,www.infineon.com,588,723,"Dr. Reinhard Ploss, Ph.D., Chief Executive Officer;Director","Mr. Dominik Asam, Chief Financial Officer",16.67%,,"$1,726 ","$4,482 ",1917.01,15.2143,"$6,311 ","$9,520 ",34.14%,$688 ,$16.67 ,"$5,080 ",10.91%,0.38%,1229.72
587,Apache Corp.,Petroleum & Coal Products,United States,www.apachecorp.com,585,323,"Mr. John J. Christmann, IV, President;Chief Executive Officer","Ms. Margery M. Harris, Executive Vice President",NM,,"$1,841 ","$3,752 ",8777,-90.7121,"$6,366 ","$18,842 ",-54.04%,"($23,528)",NM,"$2,566 ",-369.59%,3.42%,570
588,Rockwell Automation Inc.,Electrical Equipment & Appliances,United States,www.rockwellautomation.com,589,605,"Mr. Kenneth M. Champa, Division Officer","Mr. Blake D. Moret, President",3.05%,,"$1,327 ","$4,048 ",1500.9,31.135,"$6,307 ","$6,404 ",-4.76%,$827 ,$3.05 ,"$2,256 ",13.12%,0.67%,535.6
589,BBMG Corp.,"Stone, Clay, Glass & Concrete Products",China,www.bbmg.com.cn,590,598,"Mr. Weiping Jiang, Chairman;Executive Director","Mr. Deyi Jiang, President;Executive Director",-19.23%,,"$10,037 ","$13,755 ",2911.31,6.48547,"$6,301 ","$20,131 ",-0.77%,$310 ,($19.23),"$5,863 ",4.93%,0.50%,8315.78
590,JSW Steel Ltd.,Fabricated Metal Products,India,www.jsw.in,587,644,"Mr. Sajjan Jindal, Chairman;Managing Director","Mr. Seshagiri Rao, M.v.s., Managing Director;Chief Financial Officer",-143.99%,,"$3,877 ","$2,274 ",4958.44,-3.2183,"$6,357 ","$12,443 ",-20.79%,($112),($143.99),"$3,272 ",-1.76%,1.52%,1270.61
591,Hitachi Construction Machinery Co. Ltd.,Machinery,Japan,www.hitachicm.com/global/jp,591,585,"Yutaka Saito, Chairman","Yuichi Tsujimoto, President",-66.17%,,"$2,595 ","$4,562 ",880.606,2.04162,"$6,299 ","$7,697 ",-7.04%,$73 ,($66.17),"$3,289 ",1.16%,0.27%,2064.83
592,Barry Callebaut AG,Food,Switzerland,www.barry-callebaut.com,592,655,"Juergen B. Steinemann, Chief Executive Officer","Victor Balli, Chief Financial Officer",-5.90%,,"$2,262 ","$3,266 ",1184.33,13.2474,"$6,285 ","$5,467 ",6.41%,$238 ,($5.90),"$1,785 ",3.80%,0.66%,1641.13
593,Dr. Pepper Snapple Group Inc.,Beverages,United States,www.drpeppersnapplegroup.com,593,640,"Mr. Wayne R. Sanders, Chairman","Mr. Larry D. Young, President;Chief Executive Officer",11.52%,,"$1,583 ","$1,817 ",2875,33.3043,"$6,282 ","$8,869 ",2.63%,$764 ,$11.52 ,"$2,183 ",12.16%,1.32%,209
594,Belle International Holdings Ltd.,Apparel,Hong Kong Special Administrative Region of China,www.belleintl.com,594,613,"Mr. Yiu Tang, Chairman","Mr. Baijiao Sheng, Chief Executive Officer",-38.29%,,$861 ,"$3,132 ",,11.7726,"$6,280 ","$4,781 ",1.95%,$451 ,($38.29),"$3,861 ",7.19%,NA,1058.95
595,Tosoh Corp.,Chemicals,Japan,www.tosoh.co.jp,596,594,"Kenichi Udagawa, President","Toshinori Yamamoto, Managing Director",-39.76%,,"$2,158 ","$3,453 ",628.578,13.7156,"$6,261 ","$6,103 ",-6.91%,$329 ,($39.76),"$2,828 ",5.26%,0.22%,1039.66
596,Potash Corp. of Saskatchewan Inc.,Chemicals,Canada,www.potashcorp.com,595,562,"Mr. Dallas J. Howe, Chairman","Mr. Jochen E. Tilk, President;Chief Executive Officer",-16.48%,,"$1,747 ","$1,553 ",3710,14.445,"$6,279 ","$17,469 ",-11.75%,"$1,270 ",($16.48),"$8,382 ",20.23%,0.44%,749
597,Bluescope Steel Ltd.,Primary Metals,Australia,www.bluescopesteel.com,597,601,"Mr. Paul F. O'Malley, Managing Director;Chief Executive Officer","Michael G Barron, LLB, Chief Legal Officer;Secretary",NM,NA,"$1,466 ","$2,329 ",501.703,3.3559,"$6,244 ","$5,760 ",6.66%,$99 ,NM,"$3,126 ",1.60%,0.16%,1094.44
598,NOK Corp.,Rubber Products,Japan,www.nok.co.jp,598,750,"Masato Tsuru, Chairman;President","Kiyoshi Doi, Senior Managing Director",NA,,"$1,302 ","$2,683 ",176.998,7.12335,"$6,198 ","$5,789 ",7.56%,$249 ,NA,"$3,284 ",4.03%,0.05%,623.004
599,Delta Electronics Inc.,Computers & Other Electronic Products,Taiwan Province of China,www.deltaww.com,600,650,"Chunghua Teng, Chairman","Yingchun Hai, Vice-Chairman;Chief Executive Officer",-9.86%,,"$2,323 ","$4,021 ",121.54,18.1899,"$6,191 ","$6,886 ",6.72%,$569 ,($9.86),"$3,784 ",9.20%,0.03%,727.693
600,Nagase & Co. Ltd.,Chemicals,Japan,www.nagase.co.jp,601,621,"Hiroshi Nagase, Chairman","Reiji Nagase, Vice-Chairman",NA,,"$1,296 ","$2,594 ",441.171,4.37673,"$6,165 ","$4,253 ",-2.31%,$102 ,NA,"$2,275 ",1.66%,0.19%,522.671
601,Brother Industries Ltd.,Communications Equipment,Japan,www.brother.co.jp,599,659,"Toshikazu Koike, President","Shigeki Ishikawa, Senior Managing Director",-42.21%,,"$1,150 ","$2,825 ",1153.85,8.84237,"$6,196 ","$5,547 ",5.47%,$257 ,($42.21),"$2,682 ",4.16%,0.43%,1053.92
602,Owens-Illinois Inc.,"Stone, Clay, Glass & Concrete Products",United States,www.o-i.com,603,595,"Mr. Albert P. L. Stroucken, Executive Chairman;President","Mr. Andres Alberto Lopez, Chief Executive Officer",-204.44%,,"$2,122 ","$2,334 ",5345,-6.39033,"$6,156 ","$9,421 ",-9.26%,($74),($204.44),$466 ,-1.20%,11.47%,1007
603,Harman International Inds. Inc.,Computers & Other Electronic Products,United States,www.harman.com,604,717,"Mr. Dinesh C. Paliwal, Chairman;President","Ms. Sandra E. Rowland, Executive Vice President;Chief Financial Officer",44.05%,,"$2,120 ","$2,948 ",1080.67,19.1166,"$6,155 ","$5,929 ",15.08%,$342 ,$44.05 ,"$2,374 ",5.57%,0.46%,693.574
604,Uni-Charm Corp.,Paper,Japan,www.unicharm.co.jp,606,740,"Keiichiro Takahara, Founder","Takahisa Takahara, President",NA,,"$1,400 ","$2,755 ",541.437,NA,"$6,136 ","$5,836 ",NA,$336 ,NA,"$3,216 ",5.48%,0.17%,531.884
605,Oshkosh Corp.,Motor Vehicles,United States,www.oshkoshcorporation.com,608,589,"Mr. Richard M. Donnelly, Chairman","Mr. Wilson R. Jones, President;Chief Executive Officer",-19.67%,,"$1,458 ","$2,429 ",855,11.5617,"$6,098 ","$4,613 ",-10.43%,$229 ,($19.67),"$1,911 ",3.76%,0.45%,1301.7
606,NXP Semiconductors NV,Electrical Equipment & Appliances,Netherlands,www.nxp.com,607,683,"Mr. Richard L. Clemmer, President;Chief Executive Officer","Daniel Dumont, Executive Vice President;Chief Financial Officer",181.11%,,"$2,548 ","$4,812 ",8656,283.643,"$6,101 ","$26,354 ",8.04%,"$1,526 ",$181.11 ,"$11,515 ",25.01%,0.75%,1879
607,Avon Products Inc.,Chemicals,United States,www.avon.com,602,477,"Ms. Sherilyn S. McCoy, Chief Executive Officer","Mr. James S. Scully, Executive Vice President;Chief Financial Officer",NM,,"$2,195 ","$2,341 ",2159.6,NM,"$6,160 ","$3,879 ",-30.40%,"($1,148)",NM,"($1,070)",-18.65%,NM,624
608,Baxalta Inc.,Pharmaceuticals,United States,www.baxalta.com,605,NA,"Mr. John F. Miller, President","Dr. Patrice Zagame, M.D., Executive Vice President;Division Officer",NA,,"$1,911 ","$4,708 ",5265,16.6348,"$6,148 ","$12,329 ",3.29%,$956 ,NA,"$3,924 ",15.55%,1.34%,2173
609,Osram Licht AG,Electrical Equipment & Appliances,Germany,www.osram-licht.com,609,626,"Wolfgang Dehen, Chairman;Chief Executive Officer","Dr. Klaus Patzak, Chief Financial Officer",-11.73%,,"$1,683 ","$3,190 ",54.2427,7.00396,"$6,071 ","$5,190 ",8.40%,$181 ,($11.73),"$2,690 ",2.99%,0.02%,1074.83
610,Dana Inc.,Motor Vehicle Parts,United States,www.dana.com,610,606,"Mr. James K. Kamsickas, President;Chief Executive Officer","Mr. Jonathan M. Collins, Senior Vice President;Chief Financial Officer",-46.20%,,"$1,091 ","$2,474 ",1553,14.7222,"$6,060 ","$4,326 ",-8.42%,$159 ,($46.20),$728 ,2.62%,2.13%,625
611,Shandong Iron & Steel Co. Ltd.,Fabricated Metal Products,China,www.sdsteel.cc,611,502,"Jin Lishan, Board Secretary","Chen Mingyu, Staff Supervisor",NM,,"$3,770 ","$3,099 ",474.294,0.653858,"$6,000 ","$8,203 ",-24.86%,$11 ,NM,"$2,559 ",0.19%,0.19%,363.487
612,Zimmer Biomet Holdings Inc.,Medical Instruments & Equipment,United States,www.zimmer.com,612,780,"Mr. David C. Dvorak, President;Chief Executive Officer","Mr. Daniel P. Florin, Senior Vice President;Chief Financial Officer",-81.62%,,"$1,617 ","$5,862 ",11556.3,2.25432,"$5,997 ","$27,219 ",28.34%,$147 ,($81.62),"$9,887 ",2.45%,1.17%,2254.1
613,Harley-Davidson Inc.,Motor Vehicles,United States,www.harley-davidson.com,613,632,"Mr. Matthew S. Levatich, President;Chief Executive Officer","Mr. William B. Dannehl, Executive Vice President",-4.90%,,"$2,752 ","$3,983 ",4845.39,25.8554,"$5,995 ","$9,991 ",-3.74%,$752 ,($4.90),"$1,839 ",12.55%,2.63%,585.907
614,Commercial Metals Co.,Primary Metals,United States,www.cmc.com,614,574,"Mr. Joseph A. Alvarado, Chairman;President","Mr. Terry P. Hatten, Vice President;Chief Human Resources Officer",23.71%,,$617 ,"$2,307 ",1277.88,10.5032,"$5,988 ","$3,372 ",-14.93%,$141 ,$23.71 ,"$1,319 ",2.37%,0.97%,781.371
615,Takata Corp.,Motor Vehicle Parts,Japan,www.takata.com,616,712,"Shigehisa Takada, Chairman;President","Tsutomu Yoshida, Executive Officer",NA,,"$1,952 ","$2,498 ",400.466,-8.88102,"$5,964 ","$3,680 ",11.70%,($108),NA,"$1,011 ",-1.82%,0.40%,676.302
616,Avery Dennison Corp.,Paper,United States,www.averydennison.com,615,623,"Mr. Dean A. Scarborough, Executive Chairman","Mr. Mitchell R. Butier, President;Chief Executive Officer",13.46%,,"$1,459 ","$1,775 ",963.6,25.7196,"$5,966 ","$4,133 ",-5.74%,$274 ,$13.46 ,$965 ,4.60%,1.00%,478.7
617,NTN Corp.,Fabricated Metal Products,Japan,www.ntn.co.jp,617,715,"Hiroshi Ohkubo, President","Hironori Inoue, Executive Vice President",NA,,"$2,398 ","$3,508 ",1681.19,6.13079,"$5,956 ","$6,601 ",2.15%,$124 ,NA,"$1,929 ",2.10%,0.87%,1480.47
618,Teck Resources Ltd.,Primary Metals,Canada,www.teck.com,618,545,"Dr. Norman B. Keevil, Ph.D., Chairman","Mr. Warren S. R. Seyffert, LLB, Deputy Chairman",-780.95%,,"$1,242 ","$3,459 ",6916.22,-13.2968,"$5,946 ","$24,975 ",-3.95%,"($1,781)",($780.95),"$11,812 ",-29.96%,0.59%,1166.38
619,IRPC Public Co. Ltd.,Chemicals,Thailand,www.irpc.co.th,619,474,"Mr. Pailin Chuchottaworn, President;Executive Director","Mr. Banlue Chantadisai, Senior Executive Vice President",NA,,"$1,004 ",$998 ,1366.51,13.86,"$5,944 ","$4,528 ",-23.94%,$260 ,NA,"$2,103 ",4.39%,0.65%,591.342
620,Fletcher Building Ltd.,Miscellaneous,New Zealand,www.fbu.com,621,610,"Jonathan Peter Ling, MBA, Chief Executive Officer;Managing Director","Martin Farrell, LLB, Secretary;General Counsel",-20.53%,,"$1,332 ","$2,239 ",1104.74,7.89705,"$5,928 ","$5,134 ",3.09%,$184 ,($20.53),"$2,520 ",3.12%,0.44%,1030.81
621,Shandong Gold-Mining Co. Ltd.,Primary Metals,China,www.sdhjgf.com.cn,620,553,"Wang Peiyue, Chief Engineering Officer;General Manager","He Ji Ping, Deputy General Manager",-29.31%,,"$1,164 ",$260 ,524.518,6.37512,"$5,939 ","$3,491 ",-15.77%,$90 ,($29.31),"$1,486 ",1.52%,0.35%,99.6196
622,Newell Rubbermaid Inc.,Miscellaneous,United States,www.newellrubbermaid.com,623,677,"Mr. Michael B. Polk, President;Chief Executive Officer","Mr. Ralph J. Nicoletti, Executive Vice President;Chief Financial Officer",-4.44%,,"$1,988 ","$2,493 ",2687.6,18.9046,"$5,915 ","$7,278 ",3.29%,$350 ,($4.44),"$1,822 ",5.92%,1.47%,721.8
623,China Fortune Land Development Co. Ltd.,Electrical Equipment & Appliances,China,www.ekingair.com,624,837,"Chang Dongjuan, Supervisory Committee Chairman","Zhang Yi, Supervisor",-32.21%,,"$17,528 ","$23,676 ",4393.23,49.0197,"$5,902 ","$25,963 ",42.58%,$739 ,($32.21),"$2,082 ",12.52%,2.11%,15493.2
624,Embraer SA,Aerospace & Defense,Brazil,www.embraer.com.br,622,629,"Mr. Frederico Pinheiro Fleury Curado, President;Chief Executive Officer","Mr. Mauro Kern, Junior, Executive Vice President;Chief Operating Officer",-79.22%,,"$3,080 ","$6,411 ",3685.8,1.83808,"$5,928 ","$11,669 ",-5.74%,$69 ,($79.22),"$3,741 ",1.17%,0.99%,2314.6
625,AP Moeller Maersk AS,Petroleum & Coal Products,Denmark,www.maersk.com,625,528,"Nils S. Andersen, Chief Executive Officer",,-83.91%,,"$1,385 ","$1,608 ",1665.1,1.9041,"$5,883 ","$9,108 ",-15.26%,$115 ,($83.91),"$5,121 ",1.96%,0.33%,113.994
626,Marathon Oil Corp.,Petroleum & Coal Products,United States,www.marathonoil.com,626,409,"Mr. Clarence P. Cazalot, Jr., Chairman","Mr. Lee M. Tillman, President;Chief Executive Officer",-173.09%,NA,"$1,729 ","$2,590 ",7276,-10.4853,"$5,861 ","$32,311 ",-47.94%,"($2,204)",($173.09),"$18,553 ",-37.60%,0.39%,313
627,Clariant Ltd.,Chemicals,Switzerland,www.clariant.com,628,634,"Hariolf Kottmann, Chief Executive Officer","Patrick Jany, Chief Financial Officer",51.06%,,"$2,065 ","$3,081 ",1871.91,8.77731,"$5,847 ","$7,512 ",-5.05%,$230 ,$51.06 ,"$2,433 ",3.94%,0.77%,816.633
628,Motherson Sumi Systems Ltd.,Motor Vehicle Parts,India,www.motherson.com,627,NA,"Pankaj K. Mital, Chief Operating Officer","G. N. Gauba, Vice President;Secretary",-1.53%,,"$1,423 ","$1,628 ",756.364,38.3206,"$5,853 ","$3,133 ",10.46%,$192 ,($1.53),$641 ,3.29%,1.18%,680.913
629,Formosa Plastics Corp.,Chemicals,Taiwan Province of China,www.fpc.com.tw,630,587,"C. T. Lee, Chairman","Wen-Yuan Wang, Executive Director",NA,,"$1,809 ","$4,520 ",1685.96,10.8003,"$5,829 ","$12,888 ",-11.56%,$939 ,NA,"$8,747 ",16.12%,0.19%,508.115
630,OJSC Magnitogorsk Iron & Steel Works,Primary Metals,Russian Federation,www.mmk.ru,629,513,"Rafkat S. Takhautdinov, Chairman","Yuri A. Bodiaev, Managing Director",NM,,"$1,421 ","$2,064 ",954,10.7417,"$5,839 ","$6,157 ",-26.57%,$420 ,NM,"$3,307 ",7.19%,0.29%,877
